model_year,milage,fuel_type,transmission,accident,clean_title,age,depreciation_constant
2019,41452,Gasoline,Dual Shift,Yes,Yes,6,0.12166554694676802
2002,118600,Gasoline,Automatic,Yes,Yes,23,0.11633092536305453
2021,23400,Gasoline,Automatic,No,Yes,4,0.042727636069985135
2017,53000,Gasoline,Dual Shift,No,Yes,8,0.10443473789651574
2021,51808,Gasoline,Automatic,No,Yes,4,0.0010417540058576874
2010,130000,Gasoline,Automatic,No,Yes,15,0.14646060769313024
2020,22000,Hybrid,Automatic,No,Yes,5,0.0764059312886589
2017,68200,Gasoline,Dual Shift,Yes,Yes,8,0.12599763655218146
2013,87000,Gasoline,Automatic,Yes,Yes,12,0.10095290779642214
2006,137825,Gasoline,Automatic,No,Yes,19,0.1421919161673159
2021,3596,Gasoline,Automatic,No,No,4,-0.12428094762975572
2013,56860,Gasoline,Automatic,Yes,Yes,12,0.10101402271106213
2017,44300,Gasoline,Manual,No,Yes,8,0.05790409743430683
2021,11250,Gasoline,Automatic,No,Yes,4,-0.032476511338121794
2014,55000,Gasoline,Automatic,No,Yes,11,0.11816127352512212
2022,12000,Gasoline,Automatic,Yes,Yes,3,-0.1024926776675017
2017,23151,Gasoline,Automatic,No,Yes,8,0.08090649181183804
2013,152000,Gasoline,Automatic,Yes,Yes,12,0.17514460804391221
2017,28399,Gasoline,Automatic,No,Yes,8,0.05537947245450531
1998,136500,Gasoline,Manual,No,Yes,27,0.06417812145965321
2022,11700,Gasoline,Automatic,No,Yes,3,0.04517016450593351
2015,23700,Gasoline,Dual Shift,No,Yes,10,0.08359925398538764
2016,71000,Gasoline,Automatic,No,Yes,9,0.1099835972683979
2012,160900,Gasoline,Automatic,No,Yes,13,0.11433119960357697
2023,600,Hybrid,Automatic,No,Yes,2,-0.04998509325242622
2001,22300,Gasoline,Automatic,No,Yes,24,0.043126803246260594
2021,24534,Gasoline,CVT,No,Yes,4,0.03192455063940553
2018,58100,Gasoline,Automatic,No,Yes,7,0.10415988738904476
2007,177000,E85 Flex Fuel,Automatic,Yes,Yes,18,0.09597807612860124
2015,68653,Gasoline,Automatic,Yes,Yes,10,0.11367499447873412
2004,151896,Gasoline,Automatic,No,Yes,21,0.09660782444352785
2021,9500,Gasoline,Automatic,No,Yes,4,-0.00936769063450516
2016,52375,Gasoline,Automatic,Yes,Yes,9,0.11659556484642766
2023,1090,Electric,Automatic,No,Yes,2,-0.02332858394848866
2019,43500,Gasoline,Dual Shift,No,Yes,6,0.11021013972737975
2015,86000,Gasoline,Automatic,No,Yes,10,0.050897985358316224
2020,15324,Gasoline,Automatic,Yes,No,5,0.07791074264590872
2013,29400,Gasoline,Manual,No,Yes,12,0.05360721801085802
2017,68871,Gasoline,Automatic,No,Yes,8,0.07616815236257045
2012,126000,Gasoline,Dual Shift,No,Yes,13,0.08739279576456155
2018,27214,Gasoline,Dual Shift,Yes,Yes,7,0.03209099159240223
2019,42728,Gasoline,Dual Shift,No,Yes,6,0.01567386317678719
2010,97395,Gasoline,Manual,No,Yes,15,0.1446317232741909
2015,91700,Gasoline,Automatic,No,Yes,10,0.1510905881369829
2011,94500,Gasoline,Dual Shift,No,Yes,14,0.0542430697383579
2014,196300,E85 Flex Fuel,Automatic,No,Yes,11,0.14522624340156098
2015,54259,Gasoline,Automatic,No,Yes,10,0.10292516349041181
2015,175000,Gasoline,Automatic,No,Yes,10,0.17312288600863074
2018,32697,Gasoline,Automatic,Yes,Yes,7,0.05277035348303515
2007,162000,Gasoline,Automatic,No,Yes,18,0.02597472952491899
2007,110022,Gasoline,Manual,No,Yes,18,0.09457230362903196
2023,2533,Gasoline,Automatic,No,Yes,2,-0.01841671315827551
2014,96273,Gasoline,Automatic,Yes,Yes,11,0.1455217573537235
2021,77107,Gasoline,Automatic,Unknown,No,4,0.015569468258808807
2018,15055,Gasoline,Automatic,No,Yes,7,0.08251473740814456
2015,67647,Electric,Automatic,No,Yes,10,0.14684173211497664
2022,4665,Others,Automatic,No,No,3,0.15160072872038285
2016,119850,Gasoline,Automatic,No,Yes,9,0.11405072508584999
2008,94291,Gasoline,Automatic,No,Yes,17,0.06558459206496664
2019,60000,Gasoline,Automatic,No,Yes,6,0.12626882084612664
1998,75539,Gasoline,Manual,No,Yes,27,0.07055450117350147
2015,110000,Gasoline,Dual Shift,No,Yes,10,0.08911487326104305
2022,105,Diesel,Automatic,No,Yes,3,-0.3893475852953696
2011,43000,Gasoline,Manual,No,Yes,14,0.03286213391971442
2017,31150,Gasoline,Dual Shift,No,Yes,8,0.032001662803768274
2020,31350,Gasoline,Dual Shift,No,Yes,5,0.06729444732424258
2008,67303,Gasoline,Automatic,No,Yes,17,0.10488114950712304
2023,16500,Gasoline,Automatic,No,Yes,2,-0.09738828866032413
2023,2100,Gasoline,Automatic,No,Yes,2,-0.11461517615644523
2020,34300,Hybrid,Automatic,No,Yes,5,0.09395786411379714
2019,82000,Gasoline,Automatic,No,Yes,6,0.10424133893187153
2013,104994,Hybrid,Automatic,No,Yes,12,0.13238712184094545
2016,31500,Gasoline,Automatic,No,Yes,9,0.11256214366601076
2023,490,Gasoline,Automatic,No,Yes,2,-0.06499567594219632
2001,60000,Gasoline,Manual,No,Yes,24,0.049678531855447704
2005,86000,Gasoline,Automatic,No,Yes,20,0.060239290354147365
2013,125900,Gasoline,Automatic,No,Yes,12,0.1057843920677783
2016,143290,Diesel,Automatic,No,Yes,9,0.05320940547647815
2014,71097,Gasoline,Automatic,No,Yes,11,0.11008638616748824
2018,26609,Electric,Automatic,No,No,7,0.02751335738459629
2011,129999,Gasoline,Manual,No,Yes,14,0.07062633933280177
2018,95000,Gasoline,Automatic,No,Yes,7,0.07725576362519211
2007,193827,Gasoline,Automatic,No,Yes,18,0.052218270507304446
2016,60000,Gasoline,Automatic,No,Yes,9,0.09793488802372455
2007,37216,Gasoline,Automatic,Yes,Yes,18,0.05094726091365109
2003,83000,Gasoline,Manual,No,Yes,22,0.08777143342325094
2021,43329,Gasoline,Automatic,No,Yes,4,-0.006246917523229169
2015,98000,Gasoline,Dual Shift,No,Yes,10,0.10960533844645966
2020,48613,Gasoline,Automatic,Yes,Yes,5,0.12560983066690695
2016,76200,Gasoline,Dual Shift,No,Yes,9,0.09813297064567192
2019,105667,Gasoline,Automatic,No,Yes,6,0.13641898711595557
2019,51338,Gasoline,Automatic,No,Yes,6,0.0953424276779845
2010,116000,Gasoline,Manual,Yes,Yes,15,0.10421695654197456
2016,77856,Gasoline,Automatic,No,Yes,9,0.07008257174923872
2021,20069,Gasoline,Automatic,No,No,4,0.039829300553562826
2011,98200,Gasoline,Automatic,No,Yes,14,0.07814970945915356
1995,94000,Others,Automatic,No,Yes,30,0.09033444728037514
2021,45303,Gasoline,Automatic,No,No,4,0.07399749802928779
2016,53900,Gasoline,Automatic,No,Yes,9,0.07296772225184055
2016,95500,Gasoline,Dual Shift,No,Yes,9,0.12034172772433117
2021,48300,Gasoline,Automatic,No,Yes,4,0.07714227968167592
2010,138700,Gasoline,CVT,Yes,Yes,15,0.1289775645399495
2019,76249,Gasoline,Automatic,Yes,No,6,0.08376595490330639
2001,81000,Gasoline,Manual,No,Yes,24,0.031149955969554135
2022,3000,Gasoline,Automatic,No,Yes,3,0.0663006071722905
2014,34600,Gasoline,Dual Shift,No,Yes,11,0.11544670460875218
2014,84500,Gasoline,Automatic,No,Yes,11,0.04178692370184645
2009,122348,Gasoline,Automatic,Yes,Yes,16,0.0931109757540884
2015,98000,Gasoline,Dual Shift,No,Yes,10,0.1598866677748926
2007,138000,Gasoline,Automatic,No,Yes,18,0.09488027202581284
1997,92800,Gasoline,Automatic,No,Yes,28,0.04755621960427349
2014,67350,Gasoline,Automatic,Yes,Yes,11,0.12079650414996324
2001,66500,Gasoline,Manual,No,Yes,24,0.056943256319813444
2015,60251,Gasoline,Automatic,Yes,Yes,10,0.1178007013166535
2021,5093,Gasoline,Manual,No,Yes,4,0.06821461446140543
2017,91000,E85 Flex Fuel,Automatic,No,Yes,8,0.08036324551539983
2023,39517,Gasoline,Automatic,Yes,No,2,-0.0077846512560964705
2006,135000,Gasoline,Automatic,No,Yes,19,0.05068387499026431
2019,41200,Gasoline,Dual Shift,No,Yes,6,0.1321753911591066
2016,116500,Gasoline,Automatic,Yes,Yes,9,0.1412123452906654
2018,53100,Gasoline,Automatic,No,Yes,7,0.0876496045709976
2017,80134,E85 Flex Fuel,Automatic,No,Yes,8,0.08900931446776325
2021,17500,Electric,Automatic,No,Yes,4,0.13658036486270775
2017,27965,Gasoline,Automatic,No,Yes,8,0.12182646101132251
2013,119000,E85 Flex Fuel,Automatic,Unknown,No,12,0.14694527216700715
2020,5541,Gasoline,Automatic,No,No,5,0.07220309743352504
2015,68860,Gasoline,CVT,Yes,Yes,10,0.07556836990268434
2022,21404,Electric,Automatic,No,Yes,3,0.13146237944738176
2016,77945,Gasoline,Automatic,Yes,Yes,9,0.14298656670240947
2003,121886,Gasoline,Automatic,Yes,Yes,22,0.10470460635356357
2021,12941,Gasoline,Automatic,Yes,Yes,4,0.04514311379791937
2020,43277,Gasoline,Automatic,No,No,5,0.08577042199220138
2021,23600,Hybrid,Automatic,No,Yes,4,0.09144905552615994
2019,8870,Gasoline,Automatic,No,Yes,6,0.09486693177682437
2021,33500,Gasoline,Automatic,No,Yes,4,0.05482347434368794
2020,4880,Gasoline,Automatic,No,No,5,0.06731612177402833
2019,44800,Gasoline,Automatic,No,Yes,6,0.086877066537967
2020,6246,Gasoline,Automatic,No,Yes,5,-0.008470971998880689
2017,20172,Gasoline,Dual Shift,No,Yes,8,0.007122138856981018
2023,1025,Hybrid,Automatic,No,Yes,2,-0.05026128211884912
2020,53550,Gasoline,Automatic,No,Yes,5,0.060667718667503555
2021,25352,Gasoline,Automatic,No,Yes,4,-0.03242144006592757
1994,170443,Others,Automatic,Yes,Yes,31,0.0610389658233826
2014,88000,Gasoline,Automatic,No,Yes,11,0.13785864050772145
2005,22703,Gasoline,Manual,No,Yes,20,0.04413303083552412
2021,11200,Electric,Automatic,No,Yes,4,0.12306355954513881
2020,56536,Gasoline,Automatic,No,No,5,0.11386756167284781
2017,137000,Gasoline,Automatic,No,Yes,8,0.1639480669750212
2019,49208,Gasoline,Dual Shift,No,Yes,6,0.12695497930426639
2018,50400,Gasoline,Dual Shift,No,Yes,7,0.10227442368386952
2011,143898,Gasoline,Automatic,No,Yes,14,0.15208830187680525
2014,35000,Gasoline,Automatic,No,Yes,11,0.07783221424881535
2022,2235,Hybrid,Dual Shift,No,Yes,3,0.017496314317068943
2019,121521,Gasoline,Automatic,No,Yes,6,0.17017283075082923
2008,64500,Gasoline,Manual,Yes,Yes,17,0.05729928415296305
2007,102000,Gasoline,Manual,No,Yes,18,0.023876242527639646
1998,152195,Gasoline,Automatic,No,Yes,27,0.07580666954155087
2015,95271,E85 Flex Fuel,Automatic,Unknown,No,10,0.09302765282636533
2018,8984,Gasoline,Automatic,No,No,7,0.0632263075398664
2021,24207,Gasoline,Automatic,No,Yes,4,-0.005029531802677557
